                 0.1 0.000991944229015782     5016882.59090671
          5500000000     3934.07497925846    -42419.9942408255
          5510000000     3912.57523033465    -42266.1815518847
          5520000000     3891.23206696337    -42113.2038035075
          5530000000     3870.04406434202    -41961.0549648474
          5540000000     3849.00981321685    -41809.7290593945
          5550000000     3828.12791968507    -41659.2201643899
          5560000000     3807.39700499989    -41509.5224102465
          5570000000     3786.81570537839    -41360.6299799776
          5580000000     3766.38267181215    -41212.5371086325
          5590000000     3746.09656988061    -41065.2380827389
          5600000000     3725.95607956717    -40918.7272397527
          5610000000     3705.95989507789    -40772.9989675145
          5620000000     3686.10672466281    -40628.0477037126
          5630000000     3666.39529043986    -40483.8679353528
          5640000000     3646.82432822122     -40340.454198235
          5650000000     3627.39258734228    -40197.8010764362
          5660000000      3608.0988304929    -40055.9032017992
          5670000000     3588.94183355121    -39914.7552534287
          5680000000     3569.92038541967    -39774.3519571928
          5690000000     3551.03328786351    -39634.6880852309
          5700000000     3532.27935535142    -39495.7584554676
          5710000000     3513.65741489858    -39357.5579311326
          5720000000     3495.16630591178    -39220.0814202861
          5730000000     3476.80488003681     -39083.323875351
          5740000000     3458.57200100799    -38947.2802926489
          5750000000     3440.46654449979    -38811.9457119443
          5760000000     3422.48739798051    -38677.3152159916
          5770000000     3404.63346056807    -38543.3839300901
          5780000000     3386.90364288776    -38410.1470216421
          5790000000     3369.29686693201    -38277.5996997184
          5800000000     3351.81206592208    -38145.7372146273
          5810000000     3334.44818417168    -38014.5548574902
          5820000000      3317.2041769525    -37884.0479598208
          5830000000      3300.0790103616    -37754.2118931111
          5840000000      3283.0716611906    -37625.0420684207
          5850000000     3266.18111679673    -37496.5339359721
          5860000000     3249.40637497558    -37368.6829847502
          5870000000     3232.74644383568    -37241.4847421071
          5880000000     3216.20034167476    -37114.9347733711
          5890000000     3199.76709685771    -36989.0286814606
          5900000000     3183.44574769619    -36863.7621065025
          5910000000     3167.23534232993    -36739.1307254551
          5920000000     3151.13493860963    -36615.1302517356
          5930000000     3135.14360398142    -36491.7564348516
          5940000000     3119.26041537292    -36369.0050600376
          5950000000     3103.48445908088     -36246.871947895
          5960000000     3087.81483066024    -36125.3529540367
          5970000000      3072.2506348148     -36004.443968736
          5980000000     3056.79098528931    -35884.1409165794
          5990000000     3041.43500476302    -35764.4397561236
          6000000000     3026.18182474464     -35645.336479556
          6010000000     3011.03058546875    -35526.8271123599
          6020000000      2995.9804357936    -35408.9077129831
          6030000000     2981.03053310024    -35291.5743725103
          6040000000     2966.18004319299    -35174.8232143397
          6050000000     2951.42814020131     -35058.650393863
          6060000000     2936.77400648291    -34943.0520981491
          6070000000     2922.21683252815    -34828.0245456312
          6080000000     2907.75581686576    -34713.5639857986
          6090000000     2893.39016596974    -34599.6666988904
          6100000000     2879.11909416754     -34486.328995594
          6110000000     2864.94182354945    -34373.5472167464
          6120000000     2850.85758387913    -34261.3177330394
          6130000000     2836.86561250541    -34149.6369447274
          6140000000     2822.96515427517    -34038.5012813393
          6150000000      2809.1554614474    -33927.9072013932
          6160000000     2795.43579360833    -33817.8511921148
          6170000000      2781.8054175878     -33708.329769158
          6180000000     2768.26360737655    -33599.3394763303
          6190000000     2754.80964404473    -33490.8768853194
          6200000000      2741.4428156614    -33382.9385954245
          6210000000     2728.16241721504    -33275.5212332895
          6220000000     2714.96775053523    -33168.6214526399
          6230000000     2701.85812421515    -33062.2359340224
