	BunchCurrent	eigvals_re	eigvals_im	Qp	FinalBunchLength	BunchLength
80	0.0012	0.002117997312101427	-4.2412820235648465e-11	0.2		9e-12
81	0.0012	-0.004236008887323412	-3.4622858884880785e-11	0.2		9e-12
82	0.0012	0.004235990696489315	-3.455144583708438e-11	0.2		9e-12
83	0.0012	-5.782680348757604e-10	-8.932413652204812e-12	0.2		9e-12
84	0.0012	-0.0063540037802862865	-5.722712127245392e-12	0.2		9e-12
85	0.0012	0.006353995593748612	-5.7132462970874975e-12	0.2		9e-12
86	0.0012	-0.002118000091810948	-5.0438481731868035e-12	0.2		9e-12
87	0.0012	0.0021179996994582693	-5.034338534512328e-12	0.2		9e-12
88	0.0012	-0.006354000103210021	-2.482852092991082e-12	0.2		9e-12
89	0.0012	0.006353999270610405	-2.4820688037452984e-12	0.2		9e-12
90	0.0012	-0.0042360008177162725	-1.0710910551892804e-12	0.2		9e-12
91	0.0012	0.004235998764933131	-1.0632289663776968e-12	0.2		9e-12
92	0.0012	-2.637248127360026e-11	-5.013868919963093e-13	0.2		9e-12
93	0.0012	-0.004235999862825114	-4.020288876061483e-13	0.2		9e-12
94	0.0012	0.004235999719719805	-4.013166802126841e-13	0.2		9e-12
95	0.0012	-0.002117999904096885	-2.0637718629919065e-13	0.2		9e-12
96	0.0012	0.002117999887172635	-2.0588521954701413e-13	0.2		9e-12
97	0.0012	-0.006353999713840602	-6.190328581177082e-14	0.2		9e-12
98	0.0012	0.006353999659968235	-6.187434404258852e-14	0.2		9e-12
99	0.0012	-0.004235999794090362	-3.9621478006267845e-14	0.2		9e-12
100	0.0012	0.004235999788448791	-3.9591162499229725e-14	0.2		9e-12
101	0.0012	-5.136039837881384e-13	-1.1112119877044038e-14	0.2		9e-12
102	0.0012	-0.00635399968789024	-7.188505988849123e-15	0.2		9e-12
103	0.0012	0.00635399968591816	-7.187258759747816e-15	0.2		9e-12
104	0.0012	-0.0021179998957911463	-4.538587431982066e-15	0.2		9e-12
105	0.0012	0.00211799989547832	-4.5280759707903455e-15	0.2		9e-12
106	0.0012	-0.004235999791317444	-8.081175231664439e-16	0.2		9e-12
107	0.0012	0.004235999791221489	-8.067756161681652e-16	0.2		9e-12
108	0.0012	-0.006353999686919719	-2.6496662731843396e-16	0.2		9e-12
109	0.0012	0.006353999686888682	-2.643927691484389e-16	0.2		9e-12
110	0.0012	-0.004236052210800979	1.8176770209143676e-11	0.2		9e-12
111	0.0012	0.004235947382083823	1.84524126699742e-11	0.2		9e-12
112	0.0012	-3.99242173270424e-06	-6.130721951278353e-07	0.30000000000000004		9e-12
113	0.0012	-6.301704167131998e-07	-1.4868985973982238e-08	0.30000000000000004		9e-12
114	0.0012	-0.0021188748675268457	-6.074255585805021e-09	0.30000000000000004		9e-12
115	0.0012	0.002117125071709776	-5.978179161816972e-09	0.30000000000000004		9e-12
116	0.0012	-2.1760724590617153e-07	-5.167218530620829e-09	0.30000000000000004		9e-12
117	0.0012	-0.00211833582076054	-2.627174865715313e-09	0.30000000000000004		9e-12
118	0.0012	0.0021176639842480725	-2.6060551141997e-09	0.30000000000000004		9e-12
119	0.0012	-0.004236460894401202	-1.0495559691946645e-09	0.30000000000000004		9e-12
120	0.0012	0.004235538894741783	-1.041484056699043e-09	0.30000000000000004		9e-12
121	0.0012	-5.057811602303584e-08	-8.100397328107722e-10	0.30000000000000004		9e-12
122	0.0012	-0.0021181067152816987	-7.912164645209116e-10	0.30000000000000004		9e-12
123	0.0012	0.002117893075751409	-7.845855169266205e-10	0.30000000000000004		9e-12
124	0.0012	-0.00635428438161195	-7.483098028910487e-10	0.30000000000000004		9e-12
125	0.0012	0.0063537150841289506	-7.448077350545412e-10	0.30000000000000004		9e-12
126	0.0012	-0.004236188417841039	-6.074289755092809e-10	0.30000000000000004		9e-12
127	0.0012	0.0042358112172310785	-6.048332732524423e-10	0.30000000000000004		9e-12
128	0.0012	-0.002118020827892698	-5.079319859717923e-10	0.30000000000000004		9e-12
129	0.0012	0.002117978963248669	-5.06583523227636e-10	0.30000000000000004		9e-12
130	0.0012	-0.006354025481744889	-2.48856549694699e-10	0.30000000000000004		9e-12
131	0.0012	0.006353973894840245	-2.487125581347998e-10	0.30000000000000004		9e-12
132	0.0012	-6.879353677929988e-09	-1.4888767980078363e-10	0.30000000000000004		9e-12
